ticker,sector,weighted_score
ASSET00001,Finance,19.681028436887512
ASSET00001,Healthcare,22.741966858294543
ASSET00001,Industrial,12.153091334293864
ASSET00001,Tech,14.100481893929633
ASSET00001,Utilities,4.0668822739376465
ASSET00002,Energy,35.67835268387945
ASSET00002,Tech,29.003060719107843
ASSET00003,Energy,21.36180044584524
ASSET00003,Industrial,23.44569316141923
ASSET00003,Utilities,19.713970465469703
ASSET00004,Finance,7.491337058793764
ASSET00004,Healthcare,11.81766299955786
ASSET00004,Industrial,28.686502257880882
ASSET00004,Tech,20.53525140140637
ASSET00005,Consumer,12.11777916916388
ASSET00005,Energy,18.768509026198092
ASSET00005,Finance,13.381590884788059
ASSET00005,Industrial,10.288898155497273
ASSET00005,Utilities,8.67591602886396
ASSET00006,Consumer,10.796501079676034
ASSET00006,Finance,15.783871478309
ASSET00006,Healthcare,3.9382137334619784
ASSET00006,Tech,5.5342859781125835
ASSET00006,Utilities,36.773065755879756
ASSET00007,Consumer,6.682627044015737
ASSET00007,Healthcare,24.14727351124592
ASSET00007,Industrial,8.060739421615287
ASSET00007,Tech,2.1673089860456014
ASSET00007,Utilities,25.956552695521392
ASSET00008,Energy,62.68130829124385
ASSET00009,Finance,33.66244516652362
ASSET00009,Healthcare,4.7505827453553655
ASSET00009,Tech,21.16064202532202
ASSET00009,Utilities,1.4595989591648177
ASSET00010,Energy,37.77355430435192
ASSET00010,Utilities,22.849972761771394
ASSET00011,Consumer,32.74209404763981
ASSET00011,Energy,17.679331206510238
ASSET00011,Finance,9.636093784071537
ASSET00011,Industrial,2.6215896963269354
ASSET00012,Energy,0.5274582661691594
ASSET00012,Utilities,63.496401676507986
ASSET00013,Consumer,20.642321080173954
ASSET00013,Finance,9.436812928175716
ASSET00013,Industrial,13.46603206373034
ASSET00013,Utilities,19.36208382652367
ASSET00014,Finance,16.624977171118
ASSET00014,Healthcare,47.24310472821559
ASSET00014,Utilities,9.916065544580649
ASSET00015,Energy,36.701395168999746
ASSET00015,Finance,4.883063056245187
ASSET00015,Tech,20.833722834197925
ASSET00016,Energy,26.00487974090066
ASSET00016,Finance,9.73451269627837
ASSET00016,Healthcare,10.61531435033559
ASSET00016,Utilities,13.989964737656823
ASSET00017,Consumer,13.601516386265832
ASSET00017,Energy,29.49729290736545
ASSET00017,Healthcare,6.27152105047419
ASSET00017,Tech,15.534669655739442
ASSET00018,Consumer,16.63787015565122
ASSET00018,Finance,34.23110613104957
