ticker,sector,E_score,S_score,G_score,weight,weight_norm
ASSET00529,Finance,82.16012488732116,70.35190077249311,69.11325882789725,0.24117575099883518,0.18042049794001883
ASSET01866,Utilities,100.0,59.13550996023682,73.93379513779686,0.21096425584252243,0.10453468806760241
ASSET01058,Finance,44.09148111804279,52.880160049212115,64.94744597063504,0.21455086047423225,0.14144901843383678
ASSET01915,Energy,59.77917925677111,50.588606915021046,78.14547447409812,0.1522754197568034,0.6297490723831498
ASSET01080,Energy,87.09141399313344,62.6984327959055,79.61432396489975,0.059613177887203314,0.05758481293182954
ASSET00545,Finance,62.30354087794945,62.35655220548762,67.7073590414973,0.2704390153212949,0.2966568309125777
ASSET00269,Finance,54.575593607078105,59.64430598892991,72.43165009209241,0.27985963921178125,0.23138913485661072
ASSET01369,Finance,57.73667221165567,63.658093746700786,59.177112262700895,0.30120539599338636,0.18698955298635922
ASSET01686,Utilities,54.12352845858106,67.39615906620995,85.31351277409566,0.16014641807627755,0.1817293276025244
ASSET01702,Industrial,33.64143344608806,71.09436596004072,80.85796700824291,0.08450711504940649,0.13188959487585225
ASSET01675,Industrial,54.168161504269314,64.45459801841878,89.13562950782142,0.30658068257278875,0.41691991597565126
ASSET00098,Finance,55.27674739276182,46.943087311202596,80.21922246704187,0.6060371597593863,0.9461195804948901
ASSET01976,Energy,56.702269478608905,59.86007350199099,68.40757360001592,0.25403008039360314,0.546108218445841
ASSET00360,Finance,37.200716817132886,76.45784177850464,85.27142332705608,0.2617268825419532,0.16839982967942627
ASSET01973,Consumer,30.288676044906545,46.5842685026351,55.13387899893779,0.0913721285684958,0.08291498107670461
ASSET00813,Utilities,7.269254736222251,40.8884479442398,55.33436284900963,0.04833846660741559,0.06248352436237686
ASSET00762,Healthcare,77.63905202623508,53.55890496819643,81.1169820467441,0.3682272053685268,0.12200001270488212
ASSET00674,Finance,76.62844865826338,50.33426846080367,59.99957480371358,0.06657437071476845,0.05524915500293307
ASSET01923,Finance,52.10266839473788,57.827172563221765,81.31263295265512,0.08442564071639197,0.14109380241452724
ASSET00734,Finance,58.66439751749194,81.31163638384035,78.60564989941643,0.18783286453878859,0.10296031710944079
ASSET01134,Consumer,73.6312002576835,36.70418374799675,62.88245064394633,0.1641791633067274,0.3310409219178839
ASSET01066,Utilities,54.26893632818475,70.91680797103962,66.11746055038817,0.2774838414159009,0.5230218702867329
ASSET01264,Finance,54.96383373195864,70.87592217444589,52.556622830843565,0.01955250047942519,0.019224551214278435
ASSET01416,Utilities,38.459437093858185,51.521674552671215,77.44552291510826,0.22316429398198442,0.23908171425142616
ASSET00839,Tech,52.35317245693334,63.938856104024644,50.55212004673704,0.3602977254025451,0.36730633566174026
ASSET01149,Utilities,66.9290650945384,59.215593331226174,68.51702454080818,0.1586533663505965,0.11427469837626611
ASSET01083,Industrial,58.16664548008541,74.58549007577793,75.19616236992039,0.10977219167430345,0.23907181615898365
ASSET00935,Finance,90.91895681892115,78.98937638837616,75.06012136825785,0.23067334083540283,0.21196883224748087
ASSET00699,Utilities,67.1531893594968,70.8299546054758,72.66025878420857,0.08680094216327187,0.10482974906658604
ASSET00693,Utilities,54.483399624514774,65.73405242217413,84.0495238447591,0.28200447514047405,0.15141005960433393
ASSET01312,Industrial,72.86144497652569,69.22764663531173,53.557392400841366,0.2139437880488493,0.204418024377151
ASSET01046,Industrial,97.08456927335766,29.761401293241512,76.1186852249401,0.07039051392980883,0.06055714696331084
ASSET00165,Utilities,79.48593450622356,58.243628162582965,67.1746945918188,0.20124230750964728,0.20013273363824854
ASSET01264,Finance,75.23434051192828,71.80363643806952,59.61899706655285,0.22902879000794182,0.22518734663554082
ASSET01106,Energy,57.93521134310265,56.63498914521669,83.29591827848606,0.21205547467988423,0.06454046562498907
ASSET01137,Utilities,41.98343932088697,65.36208003089129,75.01663291095534,0.15889734235152644,0.15946640742282167
ASSET00678,Finance,52.29173905492269,59.38902631235585,52.568177900005225,0.3448501233452499,0.23123965624217863
ASSET01696,Finance,44.05274771206278,89.86817179939244,57.362287487431196,0.22558113733139512,0.2114951799017605
ASSET00877,Tech,42.348803556621164,92.35184321439601,82.71140600956807,0.3126454623965882,0.2127676612818074
ASSET01238,Consumer,53.85432443243018,72.96545317950986,73.77689251814839,0.12859359037110882,0.290340950907375
ASSET01741,Tech,53.948672636431915,62.01882314620483,71.78807153184209,0.2601399255837205,0.3151754225824494
ASSET01526,Industrial,75.89354908970316,97.27795935942461,78.90071764848106,0.10775738230345278,0.18014973518600563
ASSET01001,Tech,30.695800446183426,80.53445896579407,84.85453356608764,0.11515436318781629,0.1702558831334626
ASSET01793,Industrial,56.00946640921103,65.27019352428196,68.53234283354608,0.2036809319209099,0.33247565056037315
ASSET00271,Consumer,37.07962734568157,64.67509868521046,57.95000719377009,0.3126029224740837,0.36360293029243373
ASSET00009,Finance,39.48214610329295,48.20382732988247,58.744533365316514,0.14549220866150023,0.220721601756514
ASSET01643,Tech,70.58306463898414,77.26290967886162,65.9887710066215,0.02100854561734376,0.011607757670023606
ASSET01261,Tech,81.20707497825242,58.04026754940656,67.39188036735025,0.32758753332537277,0.2565709846592574
ASSET00823,Tech,42.219028757848804,52.1005684426405,75.99172998443723,0.18106681194950253,0.36272339841325635
ASSET00644,Industrial,43.24000417476886,77.32801915683652,62.32335356249535,0.050871446145008735,0.03702163935766242
ASSET00454,Tech,62.59921451630669,71.5869503155351,75.32540702812713,0.19191678169720214,0.14267310424815566
ASSET01389,Consumer,67.93755860476766,40.615813742320626,56.01265203020923,0.15205336171066433,0.12853169569464729
ASSET01473,Finance,56.20521126219317,46.92228025895907,75.56433185587758,0.11491039221340603,0.08557172847787235
ASSET00076,Tech,52.95534597714905,77.96904615680441,70.85119115892897,0.23919519572192657,0.136724909515094
ASSET01011,Industrial,68.09384424620576,78.93686711808883,72.82914849098884,0.12310727157605936,0.05094624528212883
ASSET01780,Consumer,53.57417986304027,62.231068836991724,76.56191095640993,0.04974418067698018,0.07529086015428192
ASSET01015,Tech,36.62543412242795,53.8541078141453,91.40681858769358,0.09400908303235736,0.6420855643131591
ASSET00675,Healthcare,50.34995899869161,78.12622419597933,69.1997398802869,0.1804260375932755,0.20728860120832993
ASSET00939,Finance,37.86698571860476,94.10950431975095,70.77584669609396,0.08094915545657837,0.1913295143209106
ASSET01638,Healthcare,74.70586867622629,71.29577195983539,76.92123336440463,0.12879972797627182,0.16011057725338326
ASSET01395,Energy,87.2645491327873,73.90519178492563,75.66676730975085,0.13903157657631832,0.09064429577766742
ASSET00156,Finance,54.262791857422584,68.46169821690805,56.52259164788478,0.315483923767458,0.12384467140337091
ASSET01162,Finance,55.491657582330575,61.696415665292626,56.009887791523674,0.19451145400194764,0.12586911444601376
ASSET01371,Tech,62.45580568315732,81.10327836366663,77.31549955038315,0.43772396195469293,0.31053583007670704
ASSET01960,Healthcare,39.490127526011335,73.37328723119309,62.66901689850544,0.29428360627613837,0.29407419569478915
ASSET00591,Tech,71.69429315610444,65.31975234902949,55.13372694558822,0.16180347200944104,0.37072331119137597
ASSET01807,Utilities,48.42377667910375,64.52273454068253,83.64351538830996,0.05650431638431785,0.06493122366702161
ASSET00906,Utilities,67.83758078438309,44.327790932686035,64.19298708532497,0.25832227307337785,0.11613966889230992
ASSET00115,Tech,70.47627153382835,61.7449181870743,80.70639577687409,0.16638217000149377,0.18545780937612363
ASSET01808,Tech,51.193841787108184,77.65594657545205,75.07716494985532,0.06656113014444592,0.037685924993175086
ASSET01810,Energy,62.21136569608716,60.344409867216015,68.47710407587768,0.029493216478290375,0.07101459056595798
ASSET00236,Energy,87.69410803445541,72.12095556730897,66.95439740097729,0.1280472799754793,0.14122294294438306
ASSET00482,Industrial,58.569961091114116,52.97167101491074,73.00367271319871,0.21345825032660937,0.16475506413522717
ASSET01274,Consumer,48.67774787242564,70.49761488707964,66.3730754032931,0.1684745862599091,0.24581242869721787
ASSET01608,Consumer,57.176453763468515,80.23456418477767,69.91520039928406,0.27450709037345405,0.2758860491504315
ASSET01910,Tech,55.2427103440957,37.42288521070948,62.26458440502823,0.11878496904584056,0.32404939012561634
ASSET00382,Tech,53.638376339010605,77.38464103646857,79.33703411775784,0.11433438100776183,0.11906481989113156
ASSET01202,Consumer,78.06519265177744,58.152890444712476,72.82912079902574,0.15419729582537056,0.1288175657452366
ASSET00922,Healthcare,59.41536112028623,86.8508206730939,84.25237461844934,0.3487949707604012,0.18243921369463642
ASSET00609,Finance,56.94785277589252,58.15587582597095,76.05760292264765,0.24745077672401478,0.2349385647412976
ASSET01136,Energy,59.606628516608126,86.40314780344062,69.45300748234543,0.10075378168048639,0.14822407551018998
